SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi
02000001,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,,5.5,9.8,,2022
02000002,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,7.5,,4.5,9.4,,2022
02000003,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.5,,4.5,4.2,,2022
02000004,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.5,,,8.25,,6,8.8,,2022
02000005,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,6,4.5,,,,9.4,7.5,2022
02000006,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7,,3.75,8.6,,2022
02000007,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,7,,3,5.4,,2022
02000008,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,,,8.5,,4.25,7.4,,2022
02000009,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,8.25,7.5,,,,7.8,8.25,2022
02000010,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,6.25,,4.25,7.2,,2022
02000011,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6.5,5.25,7,,,,8.2,7.75,2022
02000012,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.5,,,7.75,,4.5,5.4,,2022
02000013,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6,5.25,5.75,,,,7.4,8.5,2022
02000014,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,,,8.75,,4.5,7.8,,2022
02000015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,8.5,7,,,,9,8,2022
02000016,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,5,4.75,,,,8,7.5,2022
02000017,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,8.25,,,,8.4,7.75,2022
02000018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,8.5,,5.5,9.4,,2022
02000019,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,6.5,,3.75,6.2,,2022
02000020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8,6.25,6.5,,,,7.8,8.5,2022
02000021,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,,,8.5,,5.25,8.4,,2022
02000022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.75,,6,9.4,,2022
02000023,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,8,,4.5,7.4,,2022
02000024,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.5,,,7.25,,4.25,6.8,,2022
02000025,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.25,,,6.5,,3.25,9,,2022
02000026,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,6,5.75,,,,8.8,7,2022
02000027,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,,,5.5,,7.5,9,,2022
02000028,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4.25,,,8,,5.25,8.6,,2022
02000029,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.25,6.75,7,,,,8.6,8,2022
02000030,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,7.25,6.25,,,,7.8,7.5,2022
02000031,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,7.5,,,3.5,,4.25,8.8,,2022
02000032,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.75,,,6.5,,4,4.4,,2022
02000033,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,8,8,,,,9.4,7.75,2022
02000034,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,4.25,8.5,7.75,,,,9,8.5,2022
02000035,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,5.75,,4,8.4,,2022
02000036,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.25,7,6.5,,,,7.6,7.5,2022
02000037,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6,,,5.75,,4.5,7,,2022
02000038,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,6.25,,3.5,6.8,,2022
02000039,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.5,7.25,7.5,,,,8.2,9.5,2022
02000040,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,8.25,,4.25,8.6,,2022
02000041,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,7,6,,,,8,9,2022
02000042,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.75,,5.75,9.2,,2022
02000043,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,7.75,,3.5,8.2,,2022
02000044,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,,,4.75,,6,9.2,,2022
02000045,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.75,,,4.5,,5,5,,2022
02000046,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,8.5,6.25,,,,7.4,8.75,2022
02000047,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.25,,,8.25,,4.5,8.2,,2022
